"sncRNA","annotation","p_value","z_score"
"miRNA","Gene",0.0099009900990099,22.8738
"miRNA","Intron",0.0099009900990099,3.4857
"miRNA","Exon",0.0099009900990099,141.1831
"miRNA","CodingExon",0.613861386138614,-0.0387
"miRNA","CpG",0.0099009900990099,24.8574
"miRNA","UTR5",0.0099009900990099,200.6777
"miRNA","UTR3",0.0099009900990099,118.7474
"miRNA","Downstream",0.0099009900990099,48.8041
"miRNA","Upstream",0.0099009900990099,43.9634
"piRNA","Gene",0.0099009900990099,-12.0782
"piRNA","Intron",0.0099009900990099,-21.5182
"piRNA","Exon",0.0099009900990099,38.6774
"piRNA","CodingExon",0.0099009900990099,-1.8012
"piRNA","CpG",0.0099009900990099,145.1651
"piRNA","UTR5",0.0099009900990099,34.6407
"piRNA","UTR3",0.0099009900990099,35.5977
"piRNA","Downstream",0.0099009900990099,5.0788
"piRNA","Upstream",0.0099009900990099,6.3052
"tRF","Gene",0.0099009900990099,-17.7041
"tRF","Intron",0.0099009900990099,-17.7831
"tRF","Exon",0.0099009900990099,-2.4493
"tRF","CodingExon",0.0099009900990099,-2.9881
"tRF","CpG",0.0099009900990099,31.2779
"tRF","UTR5",0.405940594059406,0.4751
"tRF","UTR3",0.158415841584158,-1.101
"tRF","Downstream",0.0099009900990099,4.3719
"tRF","Upstream",0.0099009900990099,21.026
