"sncRNA","annotation","p_value","z_score"
"miRNA","Gene",0.0099009900990099,23.4418
"miRNA","Intron",0.0099009900990099,4.2773
"miRNA","Exon",0.0099009900990099,138.389
"miRNA","CodingExon",0.534653465346535,0.0997
"miRNA","CpG",0.0099009900990099,26.3175
"miRNA","UTR5",0.0099009900990099,188.4056
"miRNA","UTR3",0.0099009900990099,116.0893
"miRNA","Downstream",0.0099009900990099,52.4694
"miRNA","Upstream",0.0099009900990099,42.14
"piRNA","Gene",0.0099009900990099,-8.4212
"piRNA","Intron",0.0099009900990099,-17.7081
"piRNA","Exon",0.0099009900990099,37.0597
"piRNA","CodingExon",0.0792079207920792,-1.3875
"piRNA","CpG",0.0099009900990099,143.7349
"piRNA","UTR5",0.0099009900990099,34.2154
"piRNA","UTR3",0.0099009900990099,35.8734
"piRNA","Downstream",0.0099009900990099,5.528
"piRNA","Upstream",0.0099009900990099,7.0844
"tRF","Gene",0.0099009900990099,-17.1946
"tRF","Intron",0.0099009900990099,-17.2147
"tRF","Exon",0.0198019801980198,-2.2608
"tRF","CodingExon",0.0099009900990099,-2.8997
"tRF","CpG",0.0099009900990099,31.7109
"tRF","UTR5",0.366336633663366,0.4883
"tRF","UTR3",0.217821782178218,-1.0348
"tRF","Downstream",0.0099009900990099,4.7639
"tRF","Upstream",0.0099009900990099,21.438
