"","Genes","NADs","LADs"
"18_EnhAc",-5.7287,-21.5945,1.8967
"25_Quies",-51.2034,200.9885,65.1055
"19_DNase",-59.5704,94.8682,52.2013
"22_PromP",-12.8828,22.7812,9.7037
"4_PromD2",30.9387,-27.7019,-9.9865
"3_PromD1",49.0982,-37.1596,-17.6818
"1_TssA",40.746,-17.4404,-8.1361
"21_Het",-50.7314,162.9763,36.5292
"14_EnhA2",-8.7021,-41.186,-7.724
"13_EnhA1",-2.3855,-41.5559,-16.8946
"2_PromU",-8.8647,-16.6627,-10.3995
"10_TxEnh5'",31.4711,-55.8817,-30.4724
"5_Tx5'",46.5779,-70.0483,-21.1121
"8_TxWk",59.8165,-84.0692,-26.0701
"12_TxEnhW",30.0744,-53.2204,-19.2746
"7_Tx3'",48.1395,-74.8139,-24.9037
"16_EnhW1",-29.1388,-7.8373,-1.4325
"24_ReprPC",-46.0232,76.7069,-0.6694
"23_PromBiv",2.419,33.6133,1.5797
"17_EnhW2",-8.6934,-30.3232,-7.3766
"15_EnhAF",-8.3583,-63.3876,-15.3587
"9_TxReg",28.7588,-34.0707,-25.1122
"11_TxEnh3'",20.5772,-36.9641,-21.7788
"6_Tx",27.2399,-44.8345,-25.7852
"20_ZNF/Rpts",16.3809,7.1392,-3.9344
