experiment_accession,peak_accession,biosample,target,n_peaks,authors_overlap_fraction,authors_percent_overlap
ENCSR000BPF,ENCFF353WKC,A549,TAF1,10949,0.996895,99.6895
ENCSR000DMH,ENCFF281OWZ,lung,CTCF,22955,0.99682,99.682
ENCSR000DND,ENCFF547CLG,pancreas,CTCF,28049,0.995187,99.51870000000001
ENCSR000BHT,ENCFF557UKG,HeLa-S3,TAF1,14211,0.995145,99.5145
ENCSR000EFC,ENCFF382EZV,IMR-90,CHD1,3260,0.995092,99.50919999999999
ENCSR481YWD,ENCFF497RWM,A549,SMC3,16639,0.995012,99.5012
ENCSR000DYC,ENCFF674RQX,A549,MYC,9031,0.994906,99.4906
ENCSR000AQC,ENCFF967SJM,H1-hESC,RBBP5,20067,0.994568,99.4568
ENCSR785OKZ,ENCFF347MAZ,GM12878,RB1,9993,0.993796,99.3796
ENCSR000DZP,ENCFF599ZQS,GM12878,SMC3,20134,0.993444,99.3444
ENCSR000HPG,ENCFF324FFQ,IMR-90,SMC3,30516,0.992987,99.2987
ENCSR000EFF,ENCFF050OTE,IMR-90,MAZ,17690,0.992425,99.2425
ENCSR000BQF,ENCFF300PAY,SK-N-SH,TAF1,12681,0.992193,99.2193
ENCSR000DYX,ENCFF549HYB,GM12878,SIN3A,13686,0.992182,99.2182
ENCSR637QAM,ENCFF302BKM,GM12878,TRIM22,16060,0.992092,99.2092
ENCSR000ANO,ENCFF468JKI,fibroblast of lung,CTCF,32399,0.991975,99.1975
ENCSR332EYT,ENCFF176ESH,GM12878,STAT1,4962,0.991939,99.1939
ENCSR000EWL,ENCFF281NFW,K562,E2F4,9154,0.991807,99.1807
ENCSR785YRL,ENCFF983ZND,neutrophil,CTCF,25948,0.990982,99.0982
ENCSR000ATN,ENCFF873NGI,CD14-positive monocyte,CTCF,40055,0.990663,99.0663
ENCSR000DYE,ENCFF660KIF,A549,RAD21,25017,0.990446,99.0446
ENCSR000DLG,ENCFF479GJB,GM20000,CTCF,24482,0.990319,99.0319
ENCSR636YLV,ENCFF765WAE,A549,MAZ,3286,0.990262,99.0262
ENCSR000DZB,ENCFF350TKU,GM12878,ELK1,5929,0.990218,99.0218
ENCSR000DYY,ENCFF896OWK,GM12878,E2F4,3951,0.989876,98.9876
ENCSR000AQJ,ENCFF235UDJ,K562,SAP30,8493,0.989403,98.94030000000001
ENCSR000BIM,ENCFF667CNQ,GM12891,TAF1,13937,0.989237,98.9237
ENCSR000BKS,ENCFF937JNR,K562,TAF1,18660,0.989175,98.9175
ENCSR000DNI,ENCFF720CRM,spleen,CTCF,36705,0.988639,98.8639
